Fri Aug 04 14:17:19 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:25:31 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:26:42 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '0002/11/30')
Sat Aug 05 12:26:42 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 05 12:31:31 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:31:36 CEST 2023 +| Miguel +| SELECT * FROM Clientes
Sun Aug 06 11:39:20 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 11:39:47 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '0002/11/30')
Sun Aug 06 11:39:47 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sun Aug 06 11:39:57 CEST 2023 +| Miguel +| SELECT * FROM Clientes
Sun Aug 06 11:41:20 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 11:47:30 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 11:49:34 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:32:09 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:39:53 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:41:20 CEST 2023 +| [Login de 'Miguel '] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel ' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:43:43 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:44:32 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:45:46 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:47:09 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:48:10 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 06 12:48:40 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 14:20:54 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 14:21:17 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'José','Lopez Sanchez','nose 22','666111222');
Fri Aug 11 14:21:44 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'Migue','Cara Jaula','aju 2','666222333');
Fri Aug 11 14:22:09 CEST 2023 +| Miguel +| ERROR DELETE FROM ClienteS
Fri Aug 11 14:34:04 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 14:34:13 CEST 2023 +| Miguel +| ERROR DELETE FROM CLIENTES
Fri Aug 11 14:34:21 CEST 2023 +| Miguel +| SELECT * FROM Clientes
Fri Aug 11 14:34:25 CEST 2023 +| Miguel +| PRINT TO PDF Clientes
Fri Aug 11 14:43:16 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 14:43:24 CEST 2023 +| Miguel +| ERROR DELETE FROM CLIENTES
Fri Aug 11 14:43:28 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Fri Aug 11 14:43:31 CEST 2023 +| Miguel +| PRINT TO PDF CLIENTES
Fri Aug 11 14:43:38 CEST 2023 +| Miguel +| LISTADO EXCEL CLIENTES
Fri Aug 11 14:44:44 CEST 2023 +| Miguel +| UPDATE Cliente 2
Fri Aug 11 14:44:53 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Fri Aug 11 14:45:34 CEST 2023 +| Miguel +| ERROR DELETE FROM SERVICIOS
Fri Aug 11 14:46:09 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '0002/11/30')
Fri Aug 11 14:46:09 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Fri Aug 11 14:49:45 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:02:53 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:03:02 CEST 2023 +| Miguel +| DELETE FROM CLIENTES 3
Fri Aug 11 17:03:10 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Fri Aug 11 17:13:48 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:13:59 CEST 2023 +| Miguel +| DELETE FROM SERVICIOS 2
Fri Aug 11 17:18:29 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:23:40 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:23:43 CEST 2023 +| Miguel +| AYUDA
Fri Aug 11 17:25:00 CEST 2023 +| Miguel +| AYUDA
Fri Aug 11 17:32:12 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:37:11 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:37:46 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:38:16 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Fri Aug 11 17:38:59 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:17:15 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:17:57 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:23:29 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:37:04 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'Juan','Hernández Viera','c/ Soleta, 1','666000111');
Sat Aug 12 11:38:28 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'a','b','1','a');
Sat Aug 12 11:38:45 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sat Aug 12 11:39:13 CEST 2023 +| Miguel +| PRINT TO PDF CLIENTES
Sat Aug 12 11:39:16 CEST 2023 +| Miguel +| LISTADO EXCEL CLIENTES
Sat Aug 12 11:39:39 CEST 2023 +| Miguel +| DELETE FROM CLIENTES 6
Sat Aug 12 11:39:49 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sat Aug 12 11:40:08 CEST 2023 +| Miguel +| UPDATE Cliente 7
Sat Aug 12 11:40:17 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sat Aug 12 11:41:51 CEST 2023 +| Miguel +| PRINT TO PDF SERVICIOS
Sat Aug 12 11:41:54 CEST 2023 +| Miguel +| LISTADO EXCEL SERVICIOS
Sat Aug 12 11:42:25 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sat Aug 12 11:42:29 CEST 2023 +| Miguel +| PRINT TO PDF CLIENTES
Sat Aug 12 11:42:33 CEST 2023 +| Miguel +| LISTADO EXCEL CLIENTES
Sat Aug 12 11:43:03 CEST 2023 +| Miguel +| LISTADO EXCEL SERVICIOS
Sat Aug 12 11:44:10 CEST 2023 +| Miguel +| DELETE FROM SERVICIOS 3
Sat Aug 12 11:45:07 CEST 2023 +| Miguel +| UPDATE  SERVICIO java.awt.TextField[textfield0,13,147,224x23,text=menu dia 2,editable,selection=10-10]
Sat Aug 12 11:46:03 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '2023/09/10')
Sat Aug 12 11:46:03 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 12 11:48:14 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (5, 1, '2023/10/22')
Sat Aug 12 11:48:14 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 12 11:53:34 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:54:47 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:56:21 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 11:56:59 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:00:41 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:01:25 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:03:31 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:04:54 CEST 2023 +| Miguel +| UPDATE PEDIDO 3
Sat Aug 12 12:05:55 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sat Aug 12 12:07:07 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sat Aug 12 12:07:52 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sat Aug 12 12:09:26 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:20:02 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:29:07 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:30:42 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:31:17 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sat Aug 12 12:34:11 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:34:24 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sat Aug 12 12:46:28 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:47:13 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:48:27 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:51:17 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:52:08 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 12 12:52:37 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sun Aug 13 12:37:58 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:41:49 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:43:20 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'Rubén','Dominguez Delgado','c/ America, 56','666999888');
Sun Aug 13 12:45:20 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:48:29 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:50:10 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:50:48 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:51:12 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:51:43 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:52:08 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 12:53:16 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (8, 1, '2024/01/10')
Sun Aug 13 12:53:16 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sun Aug 13 12:53:53 CEST 2023 +| Miguel +| UPDATE PEDIDO 1
Sun Aug 13 12:57:13 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:01:40 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:02:18 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (4, 1, '2023/08/15')
Sun Aug 13 13:02:18 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sun Aug 13 13:02:58 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (8, 1, '2023/08/20')
Sun Aug 13 13:02:58 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sun Aug 13 13:13:16 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:16:02 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:16:52 CEST 2023 +| Miguel +| ERROR INSERT INTO PEDIDO
Sun Aug 13 13:16:52 CEST 2023 +| Miguel +| ERROR INSERT INTO PEDIDOS
Sun Aug 13 13:17:30 CEST 2023 +| Miguel +| PRINT TO PDF SERVICIOS
Sun Aug 13 13:17:36 CEST 2023 +| Miguel +| LISTADO EXCEL SERVICIOS
Sun Aug 13 13:19:16 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:19:28 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'a','b','c','d');
Sun Aug 13 13:22:22 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:22:49 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'q','w','e','r');
Sun Aug 13 13:23:08 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'z','x','c','v');
Sun Aug 13 13:23:20 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sun Aug 13 13:23:24 CEST 2023 +| Miguel +| PRINT TO PDF CLIENTES
Sun Aug 13 13:24:30 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sun Aug 13 13:27:18 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sun Aug 13 13:27:38 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sun Aug 13 13:29:38 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Sun Aug 13 13:32:57 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 10:21:23 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 10:35:19 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 10:57:10 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 10:58:17 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:00:17 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'Antonio','Garrido Suarez','c/ Trajano, 3','625566714');
Mon Aug 14 11:01:33 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:02:06 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'Pedro Luis','Barragán Cuesta','c/ Murillo, 25','666888222');
Mon Aug 14 11:38:51 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:41:45 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:42:01 CEST 2023 +| Miguel +| DELETE FROM CLIENTES 9
Mon Aug 14 11:44:57 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:45:15 CEST 2023 +| Miguel +| DELETE FROM CLIENTES 10
Mon Aug 14 11:48:05 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:48:22 CEST 2023 +| Miguel +| DELETE FROM CLIENTES 11
Mon Aug 14 11:49:04 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:49:39 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:56:12 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Mon Aug 14 11:57:00 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:57:02 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Mon Aug 14 11:57:33 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Mon Aug 14 11:57:36 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
Mon Aug 14 11:57:59 CEST 2023 +| Miguel +| SELECT * FROM CLIENTES
